\.:1                            you:1
a:2                             with:2
as:1                            used:1
associated:1                    to:1
Below:1                         The:1
command:1                       the:6
control:1                       that:1
counter:2                       styles:1
counters:1                      standard:1
document:1                      some:1
environment:1                   same:1
Everything:1                    produces:1
except:1                        or:1
for:1                           of:4
has:1                           numbers:1
in:1                            numbering.:1
is:2                            number,:1
it.:1                           no:1
LaTeX:1                         name:2
LaTeX’s:1                       list:1
list:1                          LaTeX’s:1
name:2                          LaTeX:1
no:1                            it.:1
number,:1                       is:2
numbering.:1                    in:1
numbers:1                       has:1
of:4                            for:1
or:1                            except:1
produces:1                      Everything:1
same:1                          environment:1
some:1                          document:1
standard:1                      counters:1
styles:1                        counter:2
that:1                          control:1
the:6                           command:1
The:1                           Below:1
to:1                            associated:1
used:1                          as:1
with:2                          a:2
you:1                           \.:1
